"season","round","hTeam","aTeam","hScore","aScore","hOdd","dOdd","aOdd","hProb","dProb","aProb"
"2018-2019","7","SC Freiburg","Bayer Leverkusen",0,0,3.41,3.52,2.11,0.27895063003511666,0.2702334228465193,0.450815947118364
"2018-2019","7","1899 Hoffenheim","Eintracht Frankfurt",1,2,1.71,4.04,4.55,0.5558360975963762,0.23526725913113944,0.20889664327248425
"2018-2019","7","RB Leipzig","1. FC Nürnberg",6,0,1.37,4.96,8.05,0.691373587271024,0.19096407551639172,0.11766233721258419
"2018-2019","8","Eintracht Frankfurt","Fortuna Düsseldorf",7,1,1.76,3.62,4.79,0.539484901093294,0.2622910016365186,0.1982240972701873
"2018-2019","8","VfL Wolfsburg","Bayern München",1,3,8.85,5.61,1.32,0.10773440875702146,0.1699553507129483,0.7223102405300302
"2018-2019","8","1. FC Nürnberg","1899 Hoffenheim",1,3,4.27,4.13,1.74,0.22282030690426063,0.23037353764677793,0.5468061554489614
"2018-2019","8","VfB Stuttgart","Borussia Dortmund",0,4,4.19,3.89,1.79,0.2263517357284728,0.24380816778979464,0.5298400964817325
"2018-2019","8","FC Augsburg","RB Leipzig",0,0,2.99,3.67,2.25,0.31810634748808664,0.2591656618499671,0.4227279906619463
"2018-2019","8","Bayer Leverkusen","Hannover 96",2,2,1.53,4.29,6.1,0.6220982891049002,0.2218672219884609,0.15603448890663893
"2018-2019","8","FC Schalke 04","Werder Bremen",0,2,2.06,3.49,3.56,0.46106117844393146,0.2721449935800856,0.26679382797598283
"2018-2019","8","Hertha BSC","SC Freiburg",1,1,1.88,3.51,4.26,0.505835549150547,0.2709318610834839,0.2232325897659691
"2018-2019","8","Bor. Mönchengladbach","1. FSV Mainz 05",4,0,1.57,4.29,5.38,0.6032131012150405,0.2207563097686745,0.17603058901628507
"2018-2019","9","SC Freiburg","Bor. Mönchengladbach",3,1,3.5,3.57,2.06,0.27178187086092714,0.26645281456953646,0.46176531456953646
"2018-2019","9","1. FSV Mainz 05","Bayern München",1,2,12.33,6.7,1.22,0.07723882994606321,0.14214250346790439,0.7806186665860324
"2018-2019","9","Fortuna Düsseldorf","VfL Wolfsburg",0,3,3.15,3.43,2.26,0.3019166280432945,0.27727037269282145,0.42081299926388394
"2018-2019","9","Borussia Dortmund","Hertha BSC",2,2,1.48,4.43,6.59,0.6415732485336229,0.2143404983814361,0.14408625308494108
"2018-2019","9","Hannover 96","FC Augsburg",1,2,2.45,3.42,2.82,0.3868219665976801,0.2771093035568176,0.3360687298455023
"2018-2019","9","1899 Hoffenheim","VfB Stuttgart",4,0,1.51,4.63,5.76,0.6296092564043846,0.20533692811460488,0.16505381548101053
"2018-2019","9","1. FC Nürnberg","Eintracht Frankfurt",1,1,3.95,3.67,1.9,0.24065989059345286,0.25902086317278994,0.5003192462337573
"2018-2019","9","RB Leipzig","FC Schalke 04",0,0,1.82,3.68,4.32,0.5219583946207187,0.25814246690481196,0.21989913847446943
"2018-2019","9","Werder Bremen","Bayer Leverkusen",2,6,2.43,3.54,2.79,0.3910208444681988,0.268412613575628,0.34056654195617314
"2018-2019","10","VfB Stuttgart","Eintracht Frankfurt",0,3,2.96,3.46,2.35,0.32102050646304964,0.2746302598643431,0.4043492336726072
"2018-2019","10","FC Augsburg","1. FC Nürnberg",2,2,1.61,4.03,5.47,0.5903757723137408,0.2358573184677724,0.1737669092184868
